cod_articulo,precio,descripcion,descripcion_adic,escala_1,escala_2,cod_unidad_medida,cod_barra,usa_escala,cta_compras,lleva_partida,lleva_serie,alicuota_iva,cta_ventas,cod_proveedor,sinonimo,alicuota_iva_co,porc_comision_ventas,porc_utilidad,stk_maximo,stk_minimo,punto_pedido,equivalencia,unidad_medida_compra
100643,"0.00","DELIN/SOMBRA 2 EN 1 SK LL 1 BLACKEST BLA","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100644,"0.00","DELIN/SOMBRA 2 EN 1 SK LL 2 SMOKEY GREY","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100645,"0.00","DELIN/SOMBRA 2 EN 1 SK LL 3 PURE BLUE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100646,"0.00","DELIN/SOMBRA 2 EN 1 SK LL 4 SHINY LOOK","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100647,"0.00","DELIN/SOMBRA 2 EN 1 SK LL 5 AUDACIOUS NU","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100648,"0.00","DELIN/SOMBRA 2 EN 1 SK LL 6 SWEET LILAC","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100649,"8999.00","DELIN/LABIAL 2 EN 1 SK LL 1 PINKY DREAMS","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100651,"0.00","DELIN/LABIAL 2 EN 1 SK LL 3 SOFT NUDE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100652,"0.00","DELIN/LABIAL 2 EN 1 SK LL 4 SEXY WINE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100656,"0.00","FIJADOR DE MAQUILLAJE SK LL 30G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100657,"0.00","FRUTOS ROJOS JABON DE LIMP FACIAL 100G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100658,"0.00","LOCION TONIF. HIDRAT. FRUTOS ROJOS 110ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100671,"0.00","DELINEAD.LIQ. PRECISION SK LL 01 ULTRA B","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100673,"0.00","GOOD NIGHT MASCARILLA NOCTURNA 30G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100674,"0.00","MILK CREMA CORP. COCO PIEL EXTRASECA 220","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
