orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
14,"B0000304653354","2025-06-17",7068760,10,263677.85,82441.65,197208.67,0.00,66469.18,5916.26000000000,"7580.48",0.00,"63321.60","19120.05","","0.00","25055.36",085
15,"B0000304653355","2025-06-17",7202997,2,89075.34,27364.50,73615.98,0.00,15459.36,0.00000000000,"2560.83",0.00,"22565.10","4799.40","","0.00","0.00",085
16,"B0000304653356","2025-06-17",7443129,2,103992.65,32875.05,85944.34,0.00,18048.31,0.00000000000,"2989.69",0.00,"25586.70","7288.35","","0.00","0.00",085
17,"B0000304653357","2025-06-17",7773951,2,55858.22,20230.65,46163.82,0.00,9694.40,0.00000000000,"1605.87",0.00,"18116.40","2114.25","","0.00","0.00",085
18,"B0000304653358","2025-06-17",8220158,2,62697.59,26097.90,51816.19,0.00,10881.40,0.00000000000,"1802.49",0.00,"26097.90","0.00","","0.00","0.00",085
19,"B0000304653359","2025-06-17",8396159,2,66240.83,18446.55,54744.49,0.00,11496.34,0.00000000000,"1904.36",0.00,"12058.20","6388.35","","0.00","0.00",085
20,"B0000304653360","2025-06-17",8510695,2,16014.82,3888.60,13235.39,0.00,2779.43,0.00000000000,"460.41",0.00,"3888.60","0.00","","0.00","0.00",085
21,"B0000304653361","2025-06-17",8800421,10,503458.52,152211.45,376544.28,0.00,126914.25,11296.33000000000,"14473.94",0.00,"112064.10","40147.35","","0.00","47839.95",085
22,"B0000304653362","2025-06-17",8982848,2,85755.19,26590.20,70872.06,0.00,14883.13,0.00000000000,"2465.38",0.00,"20216.40","6373.80","","0.00","0.00",085
23,"B0000304653363","2025-06-17",9367772,2,36030.14,7998.70,29776.98,0.00,6253.17,0.00000000000,"1035.83",0.00,"7398.80","599.90","","0.00","0.00",085
24,"B0000304653364","2025-06-17",9691162,10,500158.40,153320.70,374076.06,0.00,126082.34,11222.28000000000,"14379.07",0.00,"120910.80","32409.90","","0.00","47526.36",085
25,"B0000304653365","2025-06-17",9720600,2,29688.63,12357.90,24536.06,0.00,5152.57,0.00000000000,"853.52",0.00,"12357.90","0.00","","0.00","0.00",085
26,"B0000304653366","2025-06-17",9780610,2,139694.23,43493.85,115449.78,0.00,24244.45,0.00000000000,"4016.07",0.00,"33236.10","10257.75","","0.00","0.00",085
27,"B0000304653367","2025-06-17",9907912,2,46223.58,7599.30,38201.31,0.00,8022.27,0.00000000000,"1328.88",0.00,"5599.40","1999.90","","0.00","0.00",085
28,"B0000304653368","2025-06-17",10073442,2,49517.02,15791.55,40923.15,0.00,8593.86,0.00000000000,"1423.57",0.00,"12417.60","3373.95","","0.00","0.00",085
29,"B0000304653369","2025-06-17",10088881,2,26187.77,4659.10,21642.79,0.00,4544.99,0.00000000000,"752.87",0.00,"3299.40","1359.70","","0.00","0.00",085
30,"B0000304653370","2025-06-17",10361464,10,540679.11,161572.95,404382.12,0.00,136296.99,12131.46000000000,"15544.00",0.00,"117133.50","44439.45","","0.00","51376.75",085
31,"B0000304653371","2025-06-17",10438467,2,114001.34,47453.10,94215.98,0.00,19785.36,0.00000000000,"3277.43",0.00,"47453.10","0.00","","0.00","0.00",085
32,"B0000304653372","2025-06-17",10802258,2,30447.50,12116.85,25163.22,0.00,5284.28,0.00000000000,"875.34",0.00,"11727.00","389.85","","0.00","0.00",085
33,"B0000304653373","2025-06-17",10962123,2,48151.00,16722.30,39794.22,0.00,8356.79,0.00000000000,"1384.29",0.00,"14397.90","2324.40","","0.00","0.00",085
